ROI Type,ROI No,Gain (dB),Exposure,Mean,Std,SNR (dB)
grayscale,10,0.0,1.0,37154.71976334054,444.2318593584919,38.44808576040401
grayscale,0,0.0,0.5,3688.7068836045055,85.7857178482142,32.66918312830718
grayscale,1,0.0,0.5,4283.392240300375,103.03986567051001,32.37565123486164
grayscale,2,0.0,0.5,5157.685106382979,124.28980789039699,32.3603861351834
grayscale,3,0.0,0.5,6283.510387984981,145.28604972710434,32.71956843550963
grayscale,4,0.0,0.5,7828.0730913642055,172.006894526661,33.1621803406203
grayscale,5,0.0,0.5,9733.146433041302,199.03539096998105,33.78645902096783
grayscale,6,0.0,0.5,11591.821777221527,223.5015659620405,34.29742249865307
grayscale,7,0.0,0.5,13761.896370463079,248.9281288176284,34.85208617311986
grayscale,8,0.0,0.5,16088.050062578222,275.37258028435866,35.331654300380215
grayscale,9,0.0,0.5,17966.944680851066,292.9711639883025,35.75298708195051
grayscale,10,0.0,0.5,19762.360951188984,307.3623475897704,36.16376325254003
grayscale,0,0.0,0.25,3103.39324155194,64.00550664670484,33.71238940690849
grayscale,1,0.0,0.25,3402.1446808510636,76.36774476538304,32.97685626200991
grayscale,2,0.0,0.25,3835.542428035044,89.3184921575685,32.65770816663476
grayscale,3,0.0,0.25,4395.64055068836,104.24378858869315,32.499439687894466
grayscale,4,0.0,0.25,5164.565707133917,122.07151846161497,32.52838920682511
grayscale,5,0.0,0.25,6107.8067584480605,142.0751000970419,32.66734635007041
grayscale,6,0.0,0.25,7029.012265331665,157.79003428178953,32.976294612323734
grayscale,7,0.0,0.25,8096.244305381727,175.82846573209392,33.26388836204589
grayscale,8,0.0,0.25,9241.682102628285,192.96209514488427,33.60558039027673
grayscale,9,0.0,0.25,10178.681351689613,206.21137581227907,33.86757797969245
grayscale,10,0.0,0.25,11070.534167709637,218.77805236184926,34.08329649771388
grayscale,0,0.0,0.125,2797.1284105131413,50.71686949195336,34.83119931233268
grayscale,1,0.0,0.125,2949.3266583229038,55.93087097399689,34.441425879497665
grayscale,2,0.0,0.125,3164.4515644555695,65.81048681797624,33.6400669856569
grayscale,3,0.0,0.125,3444.0450563204004,76.72269785048503,33.04289917227077
grayscale,4,0.0,0.125,3828.3674593241553,88.6822297438468,32.70354024086022
grayscale,5,0.0,0.125,4297.908385481853,101.77632349928587,32.51220790297602
grayscale,6,0.0,0.125,4757.102377972466,113.84794109739157,32.420346341136636
grayscale,7,0.0,0.125,5291.264080100125,123.80515516551378,32.616414166937034
grayscale,8,0.0,0.125,5863.555444305382,137.0760230496891,32.62399080433533
grayscale,9,0.0,0.125,6327.275093867334,145.50504819012642,32.76677311564722
grayscale,10,0.0,0.125,6768.774968710889,154.39780293754157,32.83737919833331
grayscale,0,0.0,0.0625,2650.020525657071,38.895427338374795,36.667013807678074
grayscale,1,0.0,0.0625,2722.539173967459,42.94832357755834,36.04055841917148
grayscale,2,0.0,0.0625,2830.7424280350438,52.60256635834753,34.61786842782849
grayscale,3,0.0,0.0625,2970.2788485607007,56.00174501125284,34.491913256203496
grayscale,4,0.0,0.0625,3164.7899874843556,65.81447889362985,33.64046897892558
grayscale,5,0.0,0.0625,3395.5264080100123,75.42235387688727,33.068140603113136
grayscale,6,0.0,0.0625,3624.2423028785984,82.99564775898594,32.80323812790578
grayscale,7,0.0,0.0625,3893.681101376721,90.73714309157263,32.65150556181621
grayscale,8,0.0,0.0625,4179.854818523154,99.97997696910831,32.42496330088186
grayscale,9,0.0,0.0625,4412.918147684606,106.38798806729197,32.35666552349202
grayscale,10,0.0,0.0625,4635.368210262828,111.56593161162802,32.37105283452218
grayscale,0,6.0,4.0,11920.089202412106,329.1605299471957,31.177435050731205
grayscale,1,6.0,4.0,16721.753100466492,400.44000747718553,32.41488691801042
grayscale,2,6.0,4.0,23790.483558994198,492.4358208125585,33.68107265164113
grayscale,3,6.0,4.0,32897.12868358175,587.0135813885717,34.970196885500314
grayscale,4,6.0,4.0,45412.95528501536,698.3376774491358,36.26228581402788
grayscale,5,6.0,4.0,60857.633860507456,807.8924830399801,37.53922991442485
grayscale,6,6.0,4.0,65408.0,0.0,nan
grayscale,7,6.0,4.0,65408.0,0.0,nan
grayscale,8,6.0,4.0,65408.0,0.0,nan
grayscale,9,6.0,4.0,65408.0,0.0,nan
grayscale,10,6.0,4.0,65408.0,0.0,nan
