ROI Type,ROI No,Gain (dB),Exposure,Mean,Std,SNR (dB)
grayscale,8,6.0,1.0,29711.99089771305,909.975576240343,30.27804034685927
grayscale,9,6.0,1.0,33491.77744908408,1011.507756680055,30.39937958412503
grayscale,10,6.0,1.0,37095.52759130731,1350.7146128901265,28.775159077052912
grayscale,0,6.0,0.5,3669.9874843554444,143.04823431356897,28.1836416328754
grayscale,1,6.0,0.5,4258.166708385482,159.16210907203742,28.54765949585807
grayscale,2,6.0,0.5,5127.875844806007,210.41958584549627,27.737026802110304
grayscale,3,6.0,0.5,6246.011514392992,243.3974358067091,28.185735637687152
grayscale,4,6.0,0.5,7775.054818523154,299.9002182807507,28.274533557445313
grayscale,5,6.0,0.5,9663.50337922403,318.28407534287066,29.646393853614352
grayscale,6,6.0,0.5,11507.69461827284,346.02321300527854,30.437661879172182
grayscale,7,6.0,0.5,13654.137672090113,391.6493132264834,30.847338162425004
grayscale,8,6.0,0.5,15975.507384230288,537.217317936983,29.46609311998378
grayscale,9,6.0,0.5,17850.39299123905,587.3481685421356,29.65504326051289
grayscale,10,6.0,0.5,19641.798247809762,741.3643022379244,28.462991511022455
grayscale,0,6.0,0.25,3066.064888803312,99.31154963020893,29.79163166541808
grayscale,1,6.0,0.25,3363.673823048041,112.54325010231258,29.50988845160939
grayscale,2,6.0,0.25,3797.670164628863,141.2153991795489,28.59270369351069
grayscale,3,6.0,0.25,4356.749013189564,165.30144027637928,28.417718077817142
grayscale,4,6.0,0.25,5123.582940213729,198.29450575716655,28.24526179533367
grayscale,5,6.0,0.25,6068.537980167517,219.05161243824682,28.850752399336717
grayscale,6,6.0,0.25,6991.913738326754,240.5267323072803,29.268654208720292
grayscale,7,6.0,0.25,8060.828343121209,267.4008858391243,29.584336624377585
grayscale,8,6.0,0.25,9200.580725907384,333.58384619986043,28.812204568414842
grayscale,9,6.0,0.25,10123.187830942525,361.6268979735916,28.94113138049532
grayscale,10,6.0,0.25,11003.195532877635,431.28719485647514,28.13504533550841
grayscale,0,6.0,0.125,2771.137922403004,74.48627395331503,31.41163783233679
grayscale,1,6.0,0.125,2917.843304130163,82.762288952682,30.944589440092706
grayscale,2,6.0,0.125,3135.979974968711,99.3704518852774,29.98232032062349
grayscale,3,6.0,0.125,3413.474843554443,118.1781754677674,29.21318851720838
grayscale,4,6.0,0.125,3794.0465581977473,137.17542858618503,28.836526604284547
grayscale,5,6.0,0.125,4266.356946182728,154.79329104446464,28.806101083922165
grayscale,6,6.0,0.125,4727.8037546933665,170.5906973385212,28.854081934250097
grayscale,7,6.0,0.125,5263.4232790988735,188.82986709507819,28.903952189448702
grayscale,8,6.0,0.125,5835.626533166458,220.5832039939269,28.45030099293439
grayscale,9,6.0,0.125,6296.148185231539,237.62245391975122,28.463749288984005
grayscale,10,6.0,0.125,6735.859824780976,269.3184693311488,27.96253806591035
grayscale,0,6.0,0.0625,2622.3239048811015,58.21909519717682,33.07241764657458
grayscale,1,6.0,0.0625,2696.8450563204005,67.0478787510974,32.08941906158489
grayscale,2,6.0,0.0625,2807.4453066332917,75.31937307110718,31.428092156526965
grayscale,3,6.0,0.0625,2946.9997496871088,87.63179739587086,30.53436758923589
grayscale,4,6.0,0.0625,3137.0633291614517,96.83486967209204,30.209830273609267
grayscale,5,6.0,0.0625,3372.037046307885,110.99882681239819,29.651478973775923
grayscale,6,6.0,0.0625,3600.885106382979,123.18107215245463,29.31730569444462
grayscale,7,6.0,0.0625,3867.2500625782227,135.6483205958396,29.099756676832598
grayscale,8,6.0,0.0625,4150.420025031289,152.83308620779442,28.67749333506708
grayscale,9,6.0,0.0625,4381.502878598248,163.27201342294705,28.574227059589205
grayscale,10,6.0,0.0625,4603.0297872340425,179.14164933646367,28.196944338474413
grayscale,0,12.0,4.0,11820.443554443054,716.2494048988132,24.351389986594256
grayscale,1,12.0,4.0,16644.477596996247,715.0439749020948,27.338748348109092
grayscale,2,12.0,4.0,23697.37972465582,1099.6317429949797,26.66906119189296
grayscale,3,12.0,4.0,32823.104881101375,1247.9031892442065,28.39997531680966
grayscale,4,12.0,4.0,45307.70062578223,1631.4631140030563,28.871895260155487
grayscale,5,12.0,4.0,60792.33041301627,1503.0041716138267,32.1377721193318
grayscale,6,12.0,4.0,65408.0,0.0,nan
grayscale,7,12.0,4.0,65408.0,0.0,nan
grayscale,8,12.0,4.0,65408.0,0.0,nan
grayscale,9,12.0,4.0,65408.0,0.0,nan
